pair,from,to,chang,time
FISUSDT,0.4036,0.408,1.0901883052527155,08-01-2023 20:03:16
RIFUSDT,0.047,0.046,-2.1276595744680873,08-01-2023 20:10:05
DCRUSDT,18.9,18.7,-1.0582010582010546,08-01-2023 20:16:21
DCRUSDT,18.9,18.7,-1.0582010582010546,08-01-2023 20:19:22
DCRUSDT,18.7,18.9,1.0695187165775364,08-01-2023 20:19:44
PHAUSDT,0.122,0.1235,1.2295081967213126,08-01-2023 20:25:22
AUCTIONUSDT,4.11,4.16,1.2165450121654457,08-01-2023 20:29:39
ADAUPUSDT,0.267,0.27,1.1235955056179785,08-01-2023 20:32:32
ADADOWNUSDT,0.005706,0.005631,-1.314405888538388,08-01-2023 20:32:32
DCRUSDT,18.9,18.7,-1.0582010582010546,08-01-2023 20:37:28
CHESSUSDT,0.182,0.184,1.0989010989010999,08-01-2023 20:41:53
MBOXUSDT,0.393,0.398,1.2722646310432582,08-01-2023 20:43:30
RIFUSDT,0.0461,0.0466,1.0845986984815628,08-01-2023 20:59:32
GALAUSDT,0.02863,0.02899,1.2574222843171472,08-01-2023 21:01:51
AIONUSDT,0.02929,0.02959,1.0242403550699952,08-01-2023 21:08:27
PHAUSDT,0.124,0.1227,-1.04838709677419,08-01-2023 21:16:55
RIFUSDT,0.0471,0.048,1.9108280254777028,08-01-2023 21:34:37
SUSHIUSDT,1.089,1.075,-1.285583103764923,08-01-2023 21:35:19
FISUSDT,0.4188,0.4136,-1.2416427889207218,08-01-2023 21:42:20
RIFUSDT,0.0468,0.0476,1.7094017094017138,08-01-2023 21:44:18
ANKRUSDT,0.01783,0.01801,1.0095344924285088,08-01-2023 21:47:58
ANKRUSDT,0.01821,0.01845,1.3179571663920957,08-01-2023 21:49:53
ANKRUSDT,0.01817,0.01837,1.1007154650522966,08-01-2023 21:51:39
CHESSUSDT,0.184,0.182,-1.0869565217391315,08-01-2023 22:00:12
ANKRUSDT,0.01845,0.01826,-1.0298102981029953,08-01-2023 22:01:03
ANKRUSDT,0.0192,0.01942,1.1458333333333408,08-01-2023 22:15:34
FISUSDT,0.4068,0.402,-1.1799410029498454,08-01-2023 22:42:18
BNBDOWNUSDT,0.01974,0.02007,1.6717325227963546,08-01-2023 22:43:00
BNBDOWNUSDT,0.01998,0.01967,-1.5515515515515577,08-01-2023 22:44:14
GALAUSDT,0.03147,0.03348,6.3870352716873375,08-01-2023 23:03:22
GALAUSDT,0.03348,0.03525,5.286738351254462,08-01-2023 23:03:32
